Test,Subtest,Subtest Condition,Item number,Item type,Item,Item Response,Item score
BNT,NA,NA,47,NA,NA,correct,1
BNT,NA,NA,48,NA,NA,correct,1
BNT,NA,NA,49,NA,NA,correct,1
BNT,NA,NA,50,NA,NA,compass [correct with a phonemic cue],0
BNT,NA,NA,51,NA,NA,correct,1
BNT,NA,NA,52,NA,NA,correct,1
BNT,NA,NA,53,NA,NA,correct,1
BNT,NA,NA,54,NA,NA,correct,1
BNT,NA,NA,55,NA,NA,correct,1
BNT,NA,NA,56,NA,NA,correct,1
BNT,NA,NA,57,NA,NA,θætɪs- lattice,0
BNT,NA,NA,58,NA,NA,I don't know the name. I know what it is but I don't know the name of it. It's a paint something but I can't think of the second word.,0
BNT,NA,NA,59,NA,NA,correct,1
BNT,NA,NA,60,NA,NA,correct,1
NESSTI,NA,NA,NA,NA,laughter,laughter,1
NESSTI,NA,NA,NA,NA,horse,phone ring,0
NESSTI,NA,NA,NA,NA,sneeze,sneeze,1
NESSTI,NA,NA,NA,NA,cat,cry,0
NESSTI,NA,NA,NA,NA,phone,dial tone,1
NESSTI,NA,NA,NA,NA,helicopter,motorcycle,0
NESSTI,NA,NA,NA,NA,piano,text ring,0
NESSTI,NA,NA,NA,NA,clearing throat,cough,1
NESSTI,NA,NA,NA,NA,dog,barking,1
NESSTI,NA,NA,NA,NA,tire screeching,tire screetching,1
MBEA,Scale,NA,1,NA,NA,same,1
MBEA,Scale,NA,2,NA,NA,same,0
MBEA,Scale,NA,3,NA,NA,different,0
MBEA,Scale,NA,4,NA,NA,same,1
MBEA,Scale,NA,5,NA,NA,different,0
MBEA,Scale,NA,6,NA,NA,different,1
MBEA,Scale,NA,7,catch trial: not counted in total score,NA,different,1
MBEA,Scale,NA,8,NA,NA,same,0
MBEA,Scale,NA,9,NA,NA,different,1
MBEA,Scale,NA,10,NA,NA,same,1
MBEA,Scale,NA,11,NA,NA,different,1
MBEA,Scale,NA,12,NA,NA,different,1
MBEA,Scale,NA,13,NA,NA,same,1
MBEA,Scale,NA,14,NA,NA,different,1
MBEA,Scale,NA,15,NA,NA,different,0
MBEA,Scale,NA,16,NA,NA,different,0
MBEA,Scale,NA,17,NA,NA,different,1
MBEA,Scale,NA,18,NA,NA,same,1
MBEA,Scale,NA,19,NA,NA,different,1
MBEA,Scale,NA,20,NA,NA,same,1
MBEA,Scale,NA,21,NA,NA,same,1
MBEA,Scale,NA,22,NA,NA,different,0
MBEA,Scale,NA,23,NA,NA,different,1
MBEA,Scale,NA,24,NA,NA,different,1
MBEA,Scale,NA,25,NA,NA,different,0
MBEA,Scale,NA,26,NA,NA,same,0
MBEA,Scale,NA,27,NA,NA,different,1
MBEA,Scale,NA,28,NA,NA,same,0
MBEA,Scale,NA,29,NA,NA,different,1
MBEA,Scale,NA,30,NA,NA,different,0
MBEA,Scale,NA,31,NA,NA,same,1
MBEA,Rhythmic Contour,NA,1,NA,NA,different,0
MBEA,Rhythmic Contour,NA,2,NA,NA,different,1
MBEA,Rhythmic Contour,NA,3,NA,NA,different,1
MBEA,Rhythmic Contour,NA,4,NA,NA,same,1
MBEA,Rhythmic Contour,NA,5,NA,NA,different,0
MBEA,Rhythmic Contour,NA,6,NA,NA,different,1
MBEA,Rhythmic Contour,NA,7,NA,NA,same,0
MBEA,Rhythmic Contour,NA,8,NA,NA,different,0
MBEA,Rhythmic Contour,NA,9,NA,NA,same,0
MBEA,Rhythmic Contour,NA,10,NA,NA,different,1
MBEA,Rhythmic Contour,NA,11,NA,NA,different,0
MBEA,Rhythmic Contour,NA,12,NA,NA,different,1
MBEA,Rhythmic Contour,NA,13,NA,NA,different,1
MBEA,Rhythmic Contour,NA,14,catch trial: not counted in total score,NA,different,1
MBEA,Rhythmic Contour,NA,15,NA,NA,same,1
MBEA,Rhythmic Contour,NA,16,NA,NA,same,1
MBEA,Rhythmic Contour,NA,17,NA,NA,different,1
MBEA,Rhythmic Contour,NA,18,NA,NA,different,1
MBEA,Rhythmic Contour,NA,19,NA,NA,different,1
MBEA,Rhythmic Contour,NA,20,NA,NA,same,1
MBEA,Rhythmic Contour,NA,21,NA,NA,same,1
MBEA,Rhythmic Contour,NA,22,NA,NA,different,1
MBEA,Rhythmic Contour,NA,23,NA,NA,same,1
MBEA,Rhythmic Contour,NA,24,NA,NA,different,1
MBEA,Rhythmic Contour,NA,25,NA,NA,different,0
MBEA,Rhythmic Contour,NA,26,NA,NA,same,1
MBEA,Rhythmic Contour,NA,27,NA,NA,same,1
MBEA,Rhythmic Contour,NA,28,NA,NA,different,1
MBEA,Rhythmic Contour,NA,29,NA,NA,same,1
MBEA,Rhythmic Contour,NA,30,NA,NA,same,1
MBEA,Rhythmic Contour,NA,31,NA,NA,different,1
PPT,NA,NA,1,NA,NA,Pen,1
PPT,NA,NA,2,NA,NA,Crib,1
PPT,NA,NA,3,NA,NA,Screw,1
PPT,NA,NA,4,NA,NA,Dog,1
PPT,NA,NA,5,NA,NA,Mouse,1
PPT,NA,NA,6,NA,NA,Campfire,1
PPT,NA,NA,7,NA,NA,Spider,1
PPT,NA,NA,8,NA,NA,Candle,1
PPT,NA,NA,9,NA,NA,Apple,1
PPT,NA,NA,10,NA,NA,Cat,1
PPT,NA,NA,11,NA,NA,Bed,1
PPT,NA,NA,12,NA,NA,Eye,1
PPT,NA,NA,13,NA,NA,Saw,1
PPT,NA,NA,14,NA,NA,Window,1
QAB,Sentence Comprehension: 2nd admin,regular spoken,1,situational,Are you sitting?,yes,1
QAB,Sentence Comprehension: 2nd admin,regular spoken,2,situational,Am I standing?,no,1
QAB,Sentence Comprehension: 2nd admin,regular spoken,3,action,Do you eat ice cream with a spoon?,yes,1
QAB,Sentence Comprehension: 2nd admin,regular spoken,4,passive,Are spiders bitten by people?,correct after repetition,0
QAB,Sentence Comprehension: 2nd admin,regular spoken,5,action,Do you wear gloves on your feet?,correct after repetition,0
QAB,Sentence Comprehension: 2nd admin,regular spoken,6,aspectual/modal,"If you're about to go outside, are you still inside?",yes,1
QAB,Sentence Comprehension: 2nd admin,regular spoken,7,passive,Are worms eaten by birds?,yes,1
QAB,Sentence Comprehension: 2nd admin,regular spoken,8,aspectual/modal,"If I tell you I used to exercise, do you think I exercise now?",correct after repetition,0
QAB,Sentence Comprehension: 2nd admin,regular spoken,9,passive,Are babies delivered by doctors?,correct after repetition,0
QAB,Sentence Comprehension: 2nd admin,regular spoken,10,aspectual/modal,"If you're about to start, have you started yet?",no,1
QAB,Sentence Comprehension: 2nd admin,regular spoken,11,passive,Are parents raise by children?,no,1
QAB,Sentence Comprehension: 2nd admin,regular spoken,12,aspectual/modal,"If you were at the party when I arrived, did you get there first?",yes,1
QAB,Sentence Comprehension: 2nd admin,slow spoken,1,situational,Am I wearing a grey shirt?,yes,1
QAB,Sentence Comprehension: 2nd admin,slow spoken,2,situational,Are you wearing a pink dress?,no,1
QAB,Sentence Comprehension: 2nd admin,slow spoken,3,action,Do you brush your teeth with a comb?,no,1
QAB,Sentence Comprehension: 2nd admin,slow spoken,4,passive,Are babies named by parents?,yes,1
QAB,Sentence Comprehension: 2nd admin,slow spoken,5,action,Do you take pictures with a camera?,yes,1
QAB,Sentence Comprehension: 2nd admin,slow spoken,6,aspectual/modal,"If you're about to finish, have you finished yet?",no,1
QAB,Sentence Comprehension: 2nd admin,slow spoken,7,passive,Are people taxed by governments?,yes,1
QAB,Sentence Comprehension: 2nd admin,slow spoken,8,aspectual/modal,"If you're about to go inside, are you still outside?",yes,1
QAB,Sentence Comprehension: 2nd admin,slow spoken,9,passive,Are wolves attacked by deer?,no,1
QAB,Sentence Comprehension: 2nd admin,slow spoken,10,aspectual/modal,"If he was at the show when you arrived, did he get there first?",yes,1
QAB,Sentence Comprehension: 2nd admin,slow spoken,11,passive,Are thieves robbed by victims?,no,1
QAB,Sentence Comprehension: 2nd admin,slow spoken,12,aspectual/modal,"If I tell you I used to drink coffe, do you think I drink coffee now?",no,1
QAB,Sentence Comprehension: 2nd admin,written,1,situational,Are you a man?,yes,1
QAB,Sentence Comprehension: 2nd admin,written,2,situational,Am I a man?,no,1
QAB,Sentence Comprehension: 2nd admin,written,3,action,Do you cut the grass with an axe?,no,1
QAB,Sentence Comprehension: 2nd admin,written,4,passive,Are babies watched by babysitters?,yes,1
QAB,Sentence Comprehension: 2nd admin,written,5,action,Do you open your door with a key?,yes,1
QAB,Sentence Comprehension: 2nd admin,written,6,aspectual/modal,"If you're about to leave, have you left yet?",no,1
QAB,Sentence Comprehension: 2nd admin,written,7,passive,Are witnesses questioned by police?,yes,1
QAB,Sentence Comprehension: 2nd admin,written,8,aspectual/modal,"If I tell you I used to smoke, do you think I smoke now?",no,1
QAB,Sentence Comprehension: 2nd admin,written,9,passive,Are doctors treated by patients?,yes,1
QAB,Sentence Comprehension: 2nd admin,written,10,aspectual/modal,"If I was at the park when you arrived, did I get there first?",yes,1
QAB,Sentence Comprehension: 2nd admin,written,11,passive,"If you're about to upstairs, are you still downstairs?",yes,1
QAB,Sentence Comprehension: 2nd admin,written,12,aspectual/modal,Are cats chased by mice?,no,1
QAB,Word comprehension,NA,1,NA,lion,correct,1
QAB,Word comprehension,NA,2,NA,drum,correct,1
QAB,Word comprehension,NA,3,NA,violin,correct,1
QAB,Word comprehension,NA,4,NA,giraffe,correct,1
QAB,Word comprehension,NA,5,NA,bone,correct,1
QAB,Word comprehension,NA,6,NA,kite,correct,1
QAB,Word comprehension,NA,7,NA,boot,correct,1
QAB,Word comprehension,NA,8,NA,goat,correct,1
QAB,Sentence Comprehension,regular spoken,1,situational,Are you a man?,correct,1
QAB,Sentence Comprehension,regular spoken,2,situational,Am I a man?,correct,1
QAB,Sentence Comprehension,regular spoken,3,action,Do you cut the grass with an axe?,correct after repetition,0
QAB,Sentence Comprehension,regular spoken,4,passive,Are babies watched by babysitters?,correct,1
QAB,Sentence Comprehension,regular spoken,5,action,Do you open your door with a key?,correct after repetition,0
QAB,Sentence Comprehension,regular spoken,6,aspectual/modal,"If you're about to leave, have you left yet?",correct,1
QAB,Sentence Comprehension,regular spoken,7,passive,Are witnesses questioned by police?,correct after repetition,0
QAB,Sentence Comprehension,regular spoken,8,aspectual/modal,"If I tell you I used to smoke, do you think I smoke now?",correct,1
QAB,Sentence Comprehension,regular spoken,9,passive,Are doctors treated by patients?,correct after repetition,0
QAB,Sentence Comprehension,regular spoken,10,aspectual/modal,"If I was at the park when you arrived, did I get there first?",no response,0
QAB,Sentence Comprehension,regular spoken,11,passive,"If you're about to go upstairs, are you still downstairs?",correct,1
QAB,Sentence Comprehension,regular spoken,12,aspectual/modal,Are cats chased by mice?,correct,1
QAB,Picutre Naming,NA,1,NA,dog,correct,1
QAB,Picutre Naming,NA,2,NA,pencil,correct,1
QAB,Picutre Naming,NA,3,NA,wheelchair,correct,1
QAB,Picutre Naming,NA,4,NA,octopus,correct,1
QAB,Picutre Naming,NA,5,NA,hammock,correct,1
QAB,Picutre Naming,NA,6,NA,escalator,correct,1
QAB,Repetition,NA,1,word,house,correct,1
QAB,Repetition,NA,2,word,breakfast,correct,1
QAB,Repetition,NA,3,word,catastrophe,"(..) I'm sorry? / examiner repeats / (.) k_ntstr_fi? / examiner repeats at slowed speech rate / oh, catastrophe.",0
QAB,Repetition,NA,4,word,undetectable,correct after repetition,0
QAB,Repetition,NA,5,sentence,The sun rises in the east,correct,1
QAB,Repetition,NA,6,sentence,The ambitious journalist discovered where we'd be going,no response,0
QAB,Reading,NA,1,word,tin,correct,1
QAB,Reading,NA,2,word,dough,correct,1
QAB,Reading,NA,3,word,proposition,correct,1
QAB,Reading,NA,4,word,inexperienced,correct,1
QAB,Reading,NA,5,sentence,The baby cries in the night,correct,1
QAB,Reading,NA,6,sentence,The popular novelist relized why I'd been calling,correct,1
QAB,Writing,NA,1,word,book,correct,1
QAB,Writing,NA,2,word,mask,correct,1
QAB,Writing,NA,3,word,pyramid,correct,1
QAB,Writing,NA,4,sentence,The boy is washing the girl,correct,1
QAB,Sentence Comprehension,slow spoken,1,situational,Are you sitting down?,correct,1
QAB,Sentence Comprehension,slow spoken,2,situational,Am I standing?,correct,1
QAB,Sentence Comprehension,slow spoken,3,action,Do you eat ice cream with a spoon?,correct,1
QAB,Sentence Comprehension,slow spoken,4,passive,Are spiders bitten by people?,correct,1
QAB,Sentence Comprehension,slow spoken,5,action,Do you wear gloves on your feet?,correct,1
QAB,Sentence Comprehension,slow spoken,6,aspectual/modal,"If you're about to go outside, are you still inside?",correct,1
QAB,Sentence Comprehension,slow spoken,7,passive,Are worms eaten by birds?,correct,1
QAB,Sentence Comprehension,slow spoken,8,aspectual/modal,"If I tell you I used to exercise, do you think I exercise now?",correct,1
QAB,Sentence Comprehension,slow spoken,9,passive,Are babies delivered by doctors?,correct,1
QAB,Sentence Comprehension,slow spoken,10,aspectual/modal,"If you're about to start, have you started yet?",correct,1
QAB,Sentence Comprehension,slow spoken,11,passive,Are parents raised by children?,correct,1
QAB,Sentence Comprehension,slow spoken,12,aspectual/modal,"If you were at the party when I arrived, did you get there first?",correct,1
QAB,Sentence Comprehension,written,1,situational,Am I wearing a red shirt?,correct,1
QAB,Sentence Comprehension,written,2,situational,Are you wearing a dress?,correct,1
QAB,Sentence Comprehension,written,3,action,Do you brush your teeth with a comb?,correct,1
QAB,Sentence Comprehension,written,4,passive,Are babies named by parents?,correct,1
QAB,Sentence Comprehension,written,5,action,Do you take pictures with a camera?,correct,1
QAB,Sentence Comprehension,written,6,aspectual/modal,"If you're about to finish, have you finished yet?",correct,1
QAB,Sentence Comprehension,written,7,passive,Are people taxed by governments?,correct,1
QAB,Sentence Comprehension,written,8,aspectual/modal,"If you're about to go inside, are you still outside?",correct,1
QAB,Sentence Comprehension,written,9,passive,Are wolves attacked by deer?,correct,1
QAB,Sentence Comprehension,written,10,aspectual/modal,"If he was at the show when you arrived, did he get there first?",correct,1
QAB,Sentence Comprehension,written,11,passive,Are thieves robbed by victims?,correct,1
QAB,Sentence Comprehension,written,12,aspectual/modal,"If I tell you I used to drink coffee, do you think I drink coffee now?",correct,1
QAB,Extra Word Comprehension,NA,1,,guitar,correct,1
QAB,Extra Word Comprehension,NA,2,,tiger,correct,1
QAB,Extra Word Comprehension,NA,3,,zebra,correct,1
QAB,Extra Word Comprehension,NA,4,,saxophone,correct,1
QAB,Extra Word Comprehension,NA,5,,pear,correct,1
QAB,Extra Word Comprehension,NA,6,,crown,correct,1
QAB,Extra Word Comprehension,NA,7,,cloud,correct,1
QAB,Extra Word Comprehension,NA,8,,chair,correct,1
QAB,Written Word Comprehension,NA,1,,elephant,correct,1
QAB,Written Word Comprehension,NA,2,,piano,correct,1
QAB,Written Word Comprehension,NA,3,,camel,correct,1
QAB,Written Word Comprehension,NA,4,,trumpet,correct,1
QAB,Written Word Comprehension,NA,5,,cat,correct,1
QAB,Written Word Comprehension,NA,6,,box,correct,1
QAB,Written Word Comprehension,NA,7,,cane,correct,1
QAB,Written Word Comprehension,NA,8,,socks,correct,1
